time,force_plate_1_fx,force_plate_1_fy,force_plate_1_fz,force_plate_2_fx,force_plate_2_fy,force_plate_2_fz,force_plate_3_fx,force_plate_3_fy,force_plate_3_fz,force_plate_4_fx,force_plate_4_fy,force_plate_4_fz
0.0025,0.0,0.0,-0.039083665338646156,0.0,0.0,-0.039083665338646156,0.0,0.0,-0.039083665338646156,0.0,0.0,-0.039083665338646156
0.005,0.0,0.0,0.007629878890812236,0.0,0.0,0.007629878890812236,0.0,0.0,0.007629878890812236,0.0,0.0,0.007629878890812236
0.0075,0.0,0.0,0.00629609243538809,0.0,0.0,0.00629609243538809,0.0,0.0,0.00629609243538809,0.0,0.0,0.00629609243538809
0.01,0.0,0.0,0.005036576864769771,0.0,0.0,0.005036576864769771,0.0,0.0,0.005036576864769771,0.0,0.0,0.005036576864769771
0.0125,0.0,0.0,0.004028256710151723,0.0,0.0,0.004028256710151723,0.0,0.0,0.004028256710151723,0.0,0.0,0.004028256710151723
0.015,0.0,0.0,0.003221797922655867,0.0,0.0,0.003221797922655867,0.0,0.0,0.003221797922655867,0.0,0.0,0.003221797922655867
0.0175,0.0,0.0,0.0025767925245681056,0.0,0.0,0.0025767925245681056,0.0,0.0,0.0025767925245681056,0.0,0.0,0.0025767925245681056
0.02,0.0,0.0,0.0020609174981629508,0.0,0.0,0.0020609174981629508,0.0,0.0,0.0020609174981629508,0.0,0.0,0.0020609174981629508
0.0225,0.0,0.0,0.001648320884882537,0.0,0.0,0.001648320884882537,0.0,0.0,0.001648320884882537,0.0,0.0,0.001648320884882537
0.025,0.0,0.0,0.001318326299790229,0.0,0.0,0.001318326299790229,0.0,0.0,0.001318326299790229,0.0,0.0,0.001318326299790229
0.0275,0.0,0.0,0.001054396779574418,0.0,0.0,0.001054396779574418,0.0,0.0,0.001054396779574418,0.0,0.0,0.001054396779574418
0.03,0.0,0.0,0.0008433060684218674,0.0,0.0,0.0008433060684218674,0.0,0.0,0.0008433060684218674,0.0,0.0,0.0008433060684218674
0.0325,0.0,0.0,0.0006744758129180184,0.0,0.0,0.0006744758129180184,0.0,0.0,0.0006744758129180184,0.0,0.0,0.0006744758129180184
0.035,0.0,0.0,0.0005394454507570146,0.0,0.0,0.0005394454507570146,0.0,0.0,0.0005394454507570146,0.0,0.0,0.0005394454507570146
0.0375,0.0,0.0,0.0004314482280491916,0.0,0.0,0.0004314482280491916,0.0,0.0,0.0004314482280491916,0.0,0.0,0.0004314482280491916
0.04,0.0,0.0,0.0003450720980691102,0.0,0.0,0.0003450720980691102,0.0,0.0,0.0003450720980691102,0.0,0.0,0.0003450720980691102
0.0425,0.0,0.0,0.0002759885082941338,0.0,0.0,0.0002759885082941338,0.0,0.0,0.0002759885082941338,0.0,0.0,0.0002759885082941338
